,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,11894,21.0,4.8,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.52025705942
1,38617,22.0,5.0,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,27,20002.52025705942
2,17413,26.0,4.9,Sandstorms,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,27,20002.520257046745
3,24143,25.0,4.6,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,29,20002.520257046745
4,10056,38.0,3.7,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,33,20002.520257046745
5,36433,30.0,3.8,Windy,Jam,1,Meal,motorcycle,3.0,No,Metropolitian,43,20002.520257046745
6,37739,21.0,5.0,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,18,20002.520257042732
7,30959,25.0,5.0,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,20002.520257042732
8,1400,,,,,3,Snack,motorcycle,1.0,Yes,Metropolitian,49,20002.52025703843
9,3061,36.0,4.2,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.52025703843
10,1372,25.0,4.6,Cloudy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,38,20002.52025703843
11,4918,27.0,4.5,Stormy,Medium,0,Drinks,motorcycle,0.0,,Urban,11,20002.520257037824
12,4647,20.0,4.5,Windy,Jam,2,Snack,electric_scooter,1.0,No,Urban,22,20002.520257037824
13,34381,35.0,4.8,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,31,20002.520257037824
14,38661,32.0,4.3,Stormy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,38,20002.520257032207
15,45486,24.0,5.0,Windy,Jam,2,Drinks,electric_scooter,0.0,No,Urban,17,20002.520257032207
16,42398,34.0,4.0,Cloudy,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,43,20002.52025703129
17,7702,29.0,5.0,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,27,20002.52025703129
18,26282,21.0,4.8,Stormy,Low,1,Meal,scooter,0.0,No,Metropolitian,11,20002.520257028576
19,37792,26.0,4.7,Stormy,Low,2,Buffet,scooter,1.0,No,,17,20002.520257028576
20,14310,23.0,4.6,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.52025702837
21,39666,24.0,4.7,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.52025702837
22,14159,39.0,4.4,Windy,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,34,20002.520257028355
23,14647,21.0,4.8,Fog,Jam,0,Buffet,motorcycle,2.0,No,Urban,41,20002.520257028355
24,43694,21.0,4.5,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,12,20002.520257028355
25,23976,35.0,4.9,Sunny,Jam,1,Buffet,scooter,1.0,No,Urban,24,20002.520257028125
26,17478,35.0,5.0,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,25,20002.520257028125
27,29747,36.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,52,20002.520257027973
28,8468,39.0,4.6,Fog,Medium,2,Buffet,motorcycle,1.0,No,Urban,16,20002.520257027973
29,6961,28.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,23,20002.520257027798
30,11808,33.0,5.0,Sunny,Low,2,Meal,scooter,0.0,No,Urban,11,20002.520257023803
31,45468,28.0,4.7,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520257023803
32,19406,37.0,4.7,Sunny,Low,2,Meal,scooter,0.0,No,Metropolitian,11,20002.520257023803
33,2869,20.0,4.7,Sunny,Medium,1,Snack,scooter,,No,,12,20002.520257023803
34,33581,20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.520257019383
35,25591,20.0,5.0,Fog,Jam,0,Snack,motorcycle,1.0,No,Urban,39,20002.520257017437
36,29237,35.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.520257017437
37,19302,26.0,4.9,Windy,Medium,2,Drinks,scooter,1.0,No,Urban,27,20002.520257017437
38,4408,25.0,4.8,Fog,Jam,2,Snack,motorcycle,1.0,No,Urban,23,20002.520257017288
39,17593,27.0,4.8,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,18,20002.520257017288
40,24462,35.0,4.9,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.520257017288
41,18107,35.0,4.7,Stormy,Low,2,Meal,electric_scooter,,No,Metropolitian,25,20002.52025699965
42,7442,35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,20,20002.52025699965
43,35312,22.0,5.0,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,37,20002.52025699965
44,3004,24.0,4.6,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.520256255022
45,21000,21.0,4.7,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.52025624634
46,31538,38.0,4.4,Fog,Jam,2,Meal,scooter,0.0,No,Metropolitian,49,20002.52025624634
47,6975,21.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Urban,15,20002.52025624097
48,37046,24.0,5.0,Stormy,Medium,2,Snack,scooter,0.0,No,Urban,25,20002.52025624097
49,27099,31.0,4.6,Sunny,Low,2,Snack,scooter,0.0,No,Urban,26,20002.52025624097
50,5362,27.0,4.9,Stormy,Medium,2,Drinks,scooter,0.0,No,Metropolitian,22,20002.520256238895
51,39117,22.0,4.6,Stormy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,17,20002.520256238895
52,44679,32.0,4.0,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,20002.520256238895
53,23944,25.0,4.9,Sandstorms,Jam,1,Snack,scooter,1.0,No,Metropolitian,26,20002.520256236596
54,29732,31.0,4.4,Stormy,Low,0,Snack,motorcycle,1.0,No,Urban,28,20002.520256236596
55,42242,36.0,5.0,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,17,20002.520256217802
56,38725,24.0,5.0,Cloudy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,35,20002.520256217802
57,2684,,,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.520256217802
58,7133,25.0,4.8,Fog,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,12,20002.520256211184
59,37833,37.0,4.7,Cloudy,Jam,2,Buffet,scooter,3.0,No,Metropolitian,48,20002.520256208547
60,11174,21.0,4.5,Stormy,High,2,Drinks,scooter,0.0,No,Metropolitian,18,20002.520256208547
61,43865,25.0,5.0,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,20002.520256208547
62,16268,,,Cloudy,Medium,1,Meal,scooter,0.0,No,Metropolitian,27,20002.520256200485
63,13923,22.0,4.3,Fog,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,43,20002.520256200485
64,17602,34.0,4.7,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,23,20002.520256200485
65,9854,27.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,41,20002.520256200485
66,26925,33.0,4.7,Windy,Medium,2,Meal,scooter,1.0,No,Metropolitian,25,20002.52025619676
67,29506,20.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.52025619676
68,31584,37.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,16,20002.52025619676
69,34945,22.0,4.7,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,22,20002.52025619003
70,22398,27.0,4.9,Fog,Medium,0,Drinks,motorcycle,0.0,No,Urban,21,20002.52025619003
71,13670,22.0,4.5,Sunny,Medium,2,Drinks,motorcycle,1.0,,Metropolitian,12,20002.52025619003
72,9670,37.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,20002.520256189728
73,42483,38.0,4.7,Fog,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,47,20002.520256177275
74,14752,37.0,4.8,Fog,High,1,Meal,scooter,1.0,No,Metropolitian,29,20002.520256177275
75,13270,34.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,20,20002.520256177275
76,25623,28.0,4.8,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Metropolitian,23,20002.520251727365
77,16717,25.0,5.0,Stormy,Low,2,Snack,scooter,0.0,No,Urban,12,20002.520251719383
78,3087,23.0,4.8,Cloudy,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.520251676986
79,36193,,,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,15,20002.5202516745
80,43165,20.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,27,20002.5202516745
81,44777,21.0,4.9,Fog,Jam,0,Snack,motorcycle,2.0,No,,35,20002.5202516745
82,12082,31.0,4.0,Windy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,44,20002.5202516745
83,6091,38.0,4.1,Cloudy,Jam,1,Snack,motorcycle,0.0,No,Semi-Urban,48,20002.520251672508
84,44929,27.0,5.0,Sandstorms,High,0,Drinks,motorcycle,1.0,No,Urban,36,20002.520251672508
85,39228,30.0,4.6,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,29,20002.520251672508
86,39770,35.0,4.7,Sunny,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,24,20002.520251672293
87,38816,37.0,4.6,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,28,20002.520251672293
88,17794,20.0,4.5,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520251672246
89,22175,21.0,4.8,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,18,20002.520251672246
90,33082,34.0,4.7,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.520251671245
91,41566,20.0,4.9,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,13,20002.520251671245
92,45328,32.0,4.7,Stormy,Medium,1,Snack,motorcycle,0.0,No,Urban,31,20002.520251671245
93,45479,31.0,4.6,Sunny,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,25,20002.520251671245
94,27862,25.0,4.9,Cloudy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,31,20002.520251671245
95,25853,37.0,4.7,Sunny,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,24,20002.520251671107
96,12164,32.0,4.5,Cloudy,High,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.520251671107
97,38958,33.0,4.7,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,25,20002.520251669677
98,39661,33.0,4.6,Cloudy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,30,20002.520251669677
99,9262,34.0,4.7,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,38,20002.520251668342
100,38352,38.0,4.8,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,23,20002.520251668342
101,4924,34.0,4.4,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,20002.520251668342
102,43860,34.0,4.7,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,28,20002.520251666898
103,622,39.0,4.9,Stormy,Low,0,Snack,motorcycle,1.0,No,Urban,21,20002.520251666898
104,26473,23.0,4.6,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.520251666898
105,41226,21.0,4.9,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,34,20002.52025139077
106,16769,21.0,4.5,Sandstorms,Low,1,Meal,scooter,0.0,No,Urban,10,20002.52025139077
107,44410,26.0,5.0,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.52025139077
108,22373,34.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Urban,20,20002.52025139077
109,38568,32.0,4.7,Fog,Jam,2,Buffet,scooter,2.0,No,Metropolitian,44,20002.52025139077
110,16029,34.0,4.6,Sunny,Jam,0,Meal,motorcycle,1.0,No,Urban,34,20002.52025139077
111,24345,25.0,4.2,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.52025139077
